,fname,labels
0,0006ae4e.wav,Bark
14,00c40a6d.wav,Knock
15,00c4e82c.wav,Motorcycle
23,015a50b9.wav,Bark
31,02286d70.wav,Bus
47,02ddd8da.wav,Bus
50,02fb5725.wav,Car_passing_by
59,038af178.wav,Bus
65,03f48534.wav,Slam
73,045cae2f.wav,Traffic_noise_and_roadway_noise
74,045f2252.wav,Bus
75,0468b055.wav,Car_passing_by
91,0569539d.wav,Shatter
99,05be25ad.wav,Shatter
114,06a3972b.wav,Bus
124,074a72f0.wav,Bicycle_bell
133,078ca620.wav,Motorcycle
134,07962422.wav,Slam
146,07dd3742.wav,Car_passing_by
149,082075a6.wav,Shatter
153,083fa6b4.wav,Knock
159,086eb83c.wav,Slam
165,08bbd169.wav,Bark
174,09904fa0.wav,Bus
176,099967d7.wav,Bicycle_bell
190,0a9c90be.wav,Bark
204,0b593941.wav,Bark
205,0b76a30a.wav,Motorcycle
206,0b8c8a7f.wav,Knock
217,0bdd6f5c.wav,Slam
221,0bf07c62.wav,Bark
223,0bfe7e74.wav,Bark
233,0c8fd5b4.wav,Bicycle_bell
234,0caebdd8.wav,Bus
240,0cfe23f5.wav,Knock
250,0d792e36.wav,Shatter
251,0d904cd7.wav,Bark
262,0e2fa988.wav,Motorcycle
272,0ea3fc0c.wav,Bus
281,0f1856a3.wav,Bicycle_bell
285,0f367db9.wav,Slam
290,0f5c8134.wav,Traffic_noise_and_roadway_noise
314,10973b38.wav,Bicycle_bell
320,10e6b5b0.wav,Traffic_noise_and_roadway_noise
332,1195f1b1.wav,Bus
339,11e6a84b.wav,Screaming
341,1228a986.wav,Bus
367,13eb02c3.wav,Bus
368,13ec06e4.wav,Motorcycle
378,145fc5a7.wav,Bus
383,14a60900.wav,Traffic_noise_and_roadway_noise
385,15076c03.wav,Car_passing_by
402,15b4d674.wav,Knock
403,15b8f8a1.wav,Bark
404,15bd124a.wav,Traffic_noise_and_roadway_noise
424,16fd46e8.wav,Motorcycle
433,179f2a74.wav,Bark
439,17c09be3.wav,Motorcycle
443,17df5e17.wav,Yell
446,181b4f5d.wav,Motorcycle
448,18370335.wav,Bark
459,18991bbf.wav,Knock
463,18e2c03c.wav,Bicycle_bell
469,19385668.wav,Traffic_noise_and_roadway_noise
480,1a430d97.wav,Shatter
484,1a589226.wav,Bark
486,1a7d5cc2.wav,Traffic_noise_and_roadway_noise
490,1aa41492.wav,Motorcycle
500,1b4b0474.wav,Shatter
508,1b9c723e.wav,Shatter
511,1be4862f.wav,Shatter
519,1c6176a1.wav,Knock
538,1d947d94.wav,Bicycle_bell
542,1dbedd13.wav,Bus
546,1dd2b0d4.wav,Bicycle_bell
584,1f9d5aa1.wav,Car_passing_by
589,1fe35577.wav,Knock
597,205403f8.wav,Bus
599,206dce4c.wav,Screaming
615,21082fb0.wav,Car_passing_by
625,218a25cd.wav,Yell
634,222ae82e.wav,Motorcycle
639,228212bb.wav,Bus
643,22a34e4e.wav,Car_passing_by
650,22c82663.wav,Screaming
658,2317c318.wav,Shatter
671,23b1b3ce.wav,Knock
681,24134a34.wav,Bicycle_bell
695,24e7e6f1.wav,Car_passing_by
701,2521ca32.wav,Car_passing_by
710,25b7253d.wav,Bus
715,2611b5e9.wav,Shatter
717,262cc5df.wav,Knock
731,26ef2725.wav,Yell
740,275dae40.wav,Bus
742,276fca70.wav,Bark
754,281a39a7.wav,Bicycle_bell
757,283e4a2c.wav,Motorcycle
761,284634d3.wav,Bark
765,2856e756.wav,Car_passing_by
779,28d16a7d.wav,Bark
796,2a010af0.wav,Knock
797,2a012210.wav,Bicycle_bell
813,2a9806d4.wav,Bus
830,2b960078.wav,Yell
838,2c28c5e6.wav,Screaming
854,2ce15a90.wav,Screaming
857,2d09ce52.wav,Knock
858,2d1b8677.wav,Bicycle_bell
860,2d52fd96.wav,Screaming
864,2d6d9427.wav,Motorcycle
868,2da75f59.wav,Slam
877,2e5ae9c3.wav,Knock
879,2e607277.wav,Shatter
902,2f77fa88.wav,Screaming
909,2ff16998.wav,Bus
919,30ad0819.wav,Bicycle_bell
935,31316263.wav,Shatter
953,3224e1b8.wav,Bicycle_bell
965,32cd6d2d.wav,Car_passing_by
967,32d6fe75.wav,Bicycle_bell
970,3315ec7f.wav,Bark
990,340ba680.wav,Knock
991,3419437d.wav,Bicycle_bell
995,344e6e11.wav,Bicycle_bell
997,34598934.wav,Slam
998,3459e6a9.wav,Yell
1010,34947dc4.wav,Bus
1011,349ef2c4.wav,Bicycle_bell
1023,35badf6d.wav,Bicycle_bell
1033,362625bc.wav,Traffic_noise_and_roadway_noise
1038,364e3fcc.wav,Bark
1041,36927842.wav,Shatter
1042,369b3817.wav,Knock
1053,36fa2ff4.wav,Motorcycle
1059,374aa08b.wav,Shatter
1067,37b06275.wav,Traffic_noise_and_roadway_noise
1074,37cfbaaa.wav,Knock
1078,37ef9020.wav,Shatter
1090,38a9c62a.wav,Knock
1095,3906380b.wav,Screaming
1097,392df6ff.wav,Car_passing_by
1102,39570b76.wav,Motorcycle
1117,3a087c0a.wav,Bark
1129,3a98758e.wav,Traffic_noise_and_roadway_noise
1131,3aac655d.wav,Bus
1139,3b1ed95a.wav,Bark
1143,3b7f68d1.wav,Bus
1150,3c3dc6b1.wav,Yell
1177,3d61d9f7.wav,Traffic_noise_and_roadway_noise
1180,3da4166f.wav,Car_passing_by
1197,3e81e88f.wav,Yell
1204,3ede79fd.wav,Car_passing_by
1216,3f67f9f3.wav,Knock
1217,3f7d5cae.wav,Bark
1227,4012be67.wav,Bark
1245,40d9de68.wav,Bicycle_bell
1249,410606c4.wav,Car_passing_by
1251,41249a54.wav,Bark
1254,4170112a.wav,Bark
1257,41a1020e.wav,Shatter
1265,421e57fa.wav,Screaming
1272,4287c036.wav,Car_passing_by
1279,42f22ad2.wav,Shatter
1283,435bfe52.wav,Yell
1293,43f6155d.wav,Motorcycle
1299,44380267.wav,Car_passing_by
1304,447197d1.wav,Bicycle_bell
1306,448b56e8.wav,Screaming
1313,44d6656a.wav,Knock
1320,455e896e.wav,Screaming
1323,4576c315.wav,Motorcycle
1328,45ac26b1.wav,Traffic_noise_and_roadway_noise
1330,45cdfc47.wav,Shatter
1340,46193f19.wav,Knock
1341,461b33a4.wav,Slam
1344,463a601a.wav,Bicycle_bell
1345,464e1dad.wav,Shatter
1349,468106f3.wav,Bark
1352,46960f43.wav,Car_passing_by
1353,46a4473e.wav,Shatter
1358,46bf7215.wav,Slam
1372,474c7b25.wav,Knock
1381,47b3a2d0.wav,Knock
1390,4855ea7d.wav,Shatter
1394,489db4e9.wav,Bark
1403,4928222b.wav,Screaming
1415,49c38d3f.wav,Bus
1417,49cb6b39.wav,Slam
1421,49e79860.wav,Traffic_noise_and_roadway_noise
1424,4a37b4da.wav,Shatter
1427,4a661ee3.wav,Knock
1428,4a6627f7.wav,Motorcycle
1430,4a91e870.wav,Car_passing_by
1431,4ab4d5dc.wav,Motorcycle
1434,4aeb725a.wav,Shatter
1439,4b28bfc6.wav,Traffic_noise_and_roadway_noise
1445,4b82998e.wav,Car_passing_by
1446,4b8a7ff0.wav,Bicycle_bell
1450,4bc5780a.wav,Motorcycle
1456,4be092c8.wav,Bark
1461,4bf370a8.wav,Yell
1463,4c28885e.wav,Knock
1479,4d135390.wav,Bark
1490,4dce77b0.wav,Car_passing_by
1498,4e39f39e.wav,Screaming
1500,4e5c0a8a.wav,Bark
1503,4e6947b6.wav,Traffic_noise_and_roadway_noise
1514,4ee3e6ad.wav,Bus
1521,4f52ef6a.wav,Bus
1535,4fc8bb69.wav,Traffic_noise_and_roadway_noise
1541,50230569.wav,Shatter
1544,50376d84.wav,Shatter
1548,50751597.wav,Yell
1554,50e4f6b1.wav,Knock
1558,50f330d7.wav,Slam
